,OPID,WoPC,Average_NO2,current_no2_y
249,56178384388,1057,34.13228648431785,31.884040363333337
252,58968573798,1057,34.13228648431785,39.870299925
254,58996182398,1057,34.13228648431785,31.95425783
255,58996183018,1057,34.13228648431785,33.14034206
257,58999637627,1057,34.13228648431785,39.52810424
258,59089182832,1057,34.13228648431785,37.50821455
260,59089188133,1057,34.13228648431785,36.480757260000004
262,59092601481,1057,34.13228648431785,31.564239535
264,59151185219,1057,34.13228648431785,40.23933405666667
267,59154695287,1057,34.13228648431785,36.77662023
268,59182189714,1057,34.13228648431785,34.3897267
269,59182206361,1057,34.13228648431785,39.62548528
270,59216664752,1057,34.13228648431785,40.76926275
271,59216667697,1057,34.13228648431785,27.654030884999997
273,59216683197,1057,34.13228648431785,26.052532145
275,56178386155,1074,30.058067881068855,29.504455379999996
278,59027183142,1074,30.058067881068855,23.93373072
281,59058190210,1074,30.058067881068855,33.03625158333333
287,59182310924,1074,30.058067881068855,32.20236487
289,59216670425,1074,30.058067881068855,34.17971747000001
292,59275224527,1074,30.058067881068855,40.799243669999996
294,59278789682,1074,30.058067881068855,38.980256440000005
296,56178388294,1018,31.365151190339105,28.64764679
297,58937633597,1018,31.365151190339105,14.55753419
298,59027183111,1018,31.365151190339105,29.39710898
300,59030593669,1018,31.365151190339105,32.328640275
302,59030605728,1018,31.365151190339105,37.79309395
303,59058191264,1018,31.365151190339105,35.61154375
304,59058194612,1018,31.365151190339105,37.819360505
306,59120184351,1018,31.365151190339105,34.46127808
307,59120187265,1018,31.365151190339105,37.94863277
309,59182188381,1018,31.365151190339105,34.092504245
311,59185631117,1018,31.365151190339105,38.68458205
312,59185632140,1018,31.365151190339105,22.542653096000002
317,59213190675,1018,31.365151190339105,31.33692325
318,59213195387,1018,31.365151190339105,34.751579785
322,59244223039,1018,31.365151190339105,33.50600651
325,59278783730,1018,31.365151190339105,37.79098692
326,59278791976,1018,31.365151190339105,31.715509913333335
329,56178392324,1012,35.61413514040484,30.314082146666667
332,59089190458,1012,35.61413514040484,28.75994815
333,59185616423,1012,35.61413514040484,38.36716161
334,59247797184,1012,35.61413514040484,32.241300045
336,59247829269,1012,35.61413514040484,28.41884826
337,58934182956,1079,33.90023542262245,27.87635128
338,58934194922,1079,33.90023542262245,34.39723008
340,58996187172,1079,33.90023542262245,15.99711793
341,59058194550,1079,33.90023542262245,30.4568793275
345,59058194736,1079,33.90023542262245,31.0761027
347,59092611215,1079,33.90023542262245,26.10417863
348,59120189311,1079,33.90023542262245,31.48337249
350,59154701611,1079,33.90023542262245,31.957799802
355,59182187823,1079,33.90023542262245,31.05197382
356,59244219629,1079,33.90023542262245,24.35628845
357,59244223287,1079,33.90023542262245,35.63093859
358,59247811785,1079,33.90023542262245,25.22592803
359,59247822170,1079,33.90023542262245,22.20442804
360,58934183266,1071,26.101053851142918,18.77341067
361,59058189094,1071,26.101053851142918,39.092211505
363,59058193620,1071,26.101053851142918,17.99186766
364,59061612672,1071,26.101053851142918,31.263464544999998
366,59123653189,1071,26.101053851142918,34.46911558
368,59151191884,1071,26.101053851142918,24.20157666
369,59185635023,1071,26.101053851142918,39.661011650000006
371,59244209182,1071,26.101053851142918,26.288251725000002
373,59244217738,1071,26.101053851142918,33.833424225
375,59244224062,1071,26.101053851142918,16.94407543
376,58934183359,1094,23.300428643068404,26.30907008666667
379,58934192845,1094,23.300428643068404,22.23515695
380,58968593266,1094,23.300428643068404,26.94331589
382,59151194767,1094,23.300428643068404,20.04753437
383,59182191109,1094,23.300428643068404,27.92320645
384,59182195046,1094,23.300428643068404,31.276453186666668
387,59213189900,1094,23.300428643068404,23.657550336666663
390,59247828122,1094,23.300428643068404,20.61288492
391,58934183607,1077,30.938879173745637,25.40305931
393,58996189993,1077,30.938879173745637,23.38831789
394,59027179391,1077,30.938879173745637,21.37396914
395,59058190551,1077,30.938879173745637,26.446259655
397,59182187668,1077,30.938879173745637,19.4926795
398,58934184227,1056,36.140411560547015,23.9846352
400,58934188970,1056,36.140411560547015,38.916395146666666
403,58965175082,1056,36.140411560547015,32.59135415
405,59027179980,1056,36.140411560547015,31.21662233
407,59089189404,1056,36.140411560547015,34.952757065
409,59151189993,1056,36.140411560547015,30.609828524999998
411,59151196875,1056,36.140411560547015,28.692052926666666
414,59154687475,1056,36.140411560547015,44.34159964
415,59213190985,1056,36.140411560547015,36.28231772
416,59213192504,1056,36.140411560547015,41.4943252
417,59244208035,1056,36.140411560547015,43.23304801
419,59244215754,1056,36.140411560547015,30.08332774
420,59244222016,1056,36.140411560547015,27.0616166
421,58934184878,1083,25.943519309862936,22.85114793
422,58999635271,1083,25.943519309862936,29.725129665
424,59123660598,1083,25.943519309862936,30.88697374
425,59123666798,1083,25.943519309862936,24.3707681575
429,59151188226,1083,25.943519309862936,28.781607225000002
431,59151189094,1083,25.943519309862936,32.20387709
432,59185629784,1083,25.943519309862936,23.7707662
433,59216678919,1083,25.943519309862936,39.070015295
435,58934185963,1095,34.31355955535155,35.65129817
438,58937630311,1095,34.31355955535155,33.28261402333333
441,58996186242,1095,34.31355955535155,34.33001668
442,59120193806,1095,34.31355955535155,16.30496574
443,59123654398,1095,34.31355955535155,25.73623362
444,59216661249,1095,34.31355955535155,23.59410661
445,59247818760,1095,34.31355955535155,31.953049375
447,58934186118,1075,27.216303911226095,16.7221126
448,58996183173,1075,27.216303911226095,20.7672943
449,59027183638,1075,27.216303911226095,30.64824631
451,59061613199,1075,27.216303911226095,29.364271076666668
454,59089187327,1075,27.216303911226095,35.72281402
455,59120182305,1075,27.216303911226095,25.201261685
457,59151192628,1075,27.216303911226095,21.30316417
458,59182187513,1075,27.216303911226095,25.22780417
459,59182191946,1075,27.216303911226095,21.05570197
