OPID,WoPC,res_no2,mob_no2
59275223442,1011,38.19896302,36.84660603
59275223442,1011,38.19896302,36.84660603
59275224527,1074,30.05806788,32.60096599
59275224527,1074,30.05806788,32.60096599
59275225891,1022,28.24579227,24.95313929
59275229053,1097,29.82096913,36.44976324
59278782459,1035,38.21273279,30.89968748
59278782459,1035,38.21273279,30.89968748
59278803508,1081,27.31671948,48.51374135
59278816993,1066,27.24088671,26.72524031
59278816993,1066,27.24088671,26.72524031
56144375280,1053,32.62076301,32.25172525
58934187513,1053,32.62076301,26.97814621
58934189714,1053,32.62076301,28.43354646
58937625506,1053,32.62076301,28.19982793
58965176818,1053,32.62076301,34.82970361
58996182181,1053,32.62076301,25.90934321
58999629474,1053,32.62076301,31.36043222
58999650523,1053,32.62076301,45.55237584
59027185808,1053,32.62076301,41.29266275
59030612796,1053,32.62076301,27.86821888
59061633721,1053,32.62076301,38.57891355
59089180011,1053,32.62076301,31.74143407
59092592832,1053,32.62076301,38.3191917
59123647206,1053,32.62076301,44.14570961
59154702262,1053,32.62076301,30.57648116
59185639456,1053,32.62076301,37.28528
59244218234,1053,32.62076301,34.70811998
56175192907,1052,33.45132983,30.48796553
58934191946,1052,33.45132983,26.43420907
58968570605,1052,33.45132983,37.77897347
58968592336,1052,33.45132983,33.17871765
59058184413,1052,33.45132983,23.6093577
59089189528,1052,33.45132983,18.03368941
59120185281,1052,33.45132983,26.2569911
59123645966,1052,33.45132983,26.25266942
59154699937,1052,33.45132983,31.23574843
59185634713,1052,33.45132983,27.20342622
59213189373,1052,33.45132983,30.08257775
59216659885,1052,33.45132983,44.14748747
59278798765,1052,33.45132983,29.34742641
59278812653,1052,33.45132983,29.82470277
56175193465,1021,28.06876655,22.46467688
58965181809,1021,28.06876655,24.86573662
59151188877,1021,28.06876655,26.85430589
59185640603,1021,28.06876655,29.40310121
59278785528,1021,28.06876655,21.27697579
56175193899,1061,36.14419401,37.84246058
58934192225,1061,36.14419401,47.15357538
58968569489,1061,36.14419401,43.72015161
58999636728,1061,36.14419401,35.34924039
59058193124,1061,36.14419401,36.5210012
59151193589,1061,36.14419401,37.41831897
59244222512,1061,36.14419401,33.1333357
59247798951,1061,36.14419401,30.93048729
59275217955,1061,36.14419401,30.78223479
56175195604,1060,22.75206034,8.533968
58996186056,1060,22.75206034,17.55695082
58996192907,1060,22.75206034,26.55401077
59151192442,1060,22.75206034,19.93615048
56175196379,1011,38.19896302,37.66888333
58968580401,1011,38.19896302,32.95760757
58996187513,1011,38.19896302,24.35006644
58999638464,1011,38.19896302,40.99043207
59058192969,1011,38.19896302,32.23877051
59123661714,1011,38.19896302,34.17454222
59182185653,1011,38.19896302,40.94991404
59278812529,1011,38.19896302,28.78708927
56175196534,1016,30.09519333,32.42860248
58965174214,1016,30.09519333,28.1425257
58968587531,1016,30.09519333,31.82226118
58996186707,1016,30.09519333,22.96679221
58996187141,1016,30.09519333,27.41926356
59058182367,1016,30.09519333,32.72559504
59123664442,1016,30.09519333,28.81705293
59151188350,1016,30.09519333,35.05552806
59154696372,1016,30.09519333,23.55789258
59213187947,1016,30.09519333,31.37447863
59244208190,1016,30.09519333,49.60578596
59275219257,1016,30.09519333,31.16436011
56175196937,1098,31.85128761,15.08667238
58934192442,1098,31.85128761,26.21278535
58968570915,1098,31.85128761,26.88739009
58996183638,1098,31.85128761,17.3085829
59027180228,1098,31.85128761,27.25467619
59027191698,1098,31.85128761,18.37880977
59089179732,1098,31.85128761,27.25535876
59089190148,1098,31.85128761,27.69876296
59123642587,1098,31.85128761,27.84395833
59123661838,1098,31.85128761,29.15363413
59154682019,1098,31.85128761,27.96245535
59154697457,1098,31.85128761,33.05667433
59185625351,1098,31.85128761,38.60484541
59213189745,1098,31.85128761,34.94497413
59244209244,1098,31.85128761,31.12091875
59244220466,1098,31.85128761,32.00500893
59247813335,1098,31.85128761,15.63772377
59275228867,1098,31.85128761,34.77986985
56175201215,1058,33.74793584,26.18479191
58937627459,1058,33.74793584,21.84375152
